time,station,bewd_i,bewd_i_flag,bewd_ii,bewd_ii_flag,bewd_iii,bewd_iii_flag,bewm_i,bewm_i_flag,bewm_ii,bewm_ii_flag,bewm_iii,bewm_iii_flag,bewm_mittel,bewm_mittel_flag,bft6,bft6_flag,bft8,bft8_flag,cglo_j,cglo_j_flag,dampf_i,dampf_i_flag,dampf_ii,dampf_ii_flag,dampf_iii,dampf_iii_flag,dampf_mittel,dampf_mittel_flag,dd32_i,dd32_i_flag,dd32_ii,dd32_ii_flag,dd32_iii,dd32_iii_flag,erdb_i,erdb_i_flag,erdb_ii,erdb_ii_flag,erdb_iii,erdb_iii_flag,ffx,ffx_flag,gew,gew_flag,glatt,glatt_flag,nebel,nebel_flag,p_i,p_i_flag,p_ii,p_ii_flag,p_iii,p_iii_flag,p_mittel,p_mittel_flag,raureif,raureif_flag,reif,reif_flag,rfb_i,rfb_i_flag,rfb_ii,rfb_ii_flag,rfb_iii,rfb_iii_flag,rfb_mittel,rfb_mittel_flag,rf_i,rf_i_flag,rf_ii,rf_ii_flag,rf_iii,rf_iii_flag,rf_mittel,rf_mittel_flag,rr,rra_manu,rra_manu_flag,rra_manu_i,rra_manu_i_flag,rra_manu_iii,rra_manu_iii_flag,rr_flag,rr_i,rr_i_flag,rr_iii,rr_iii_flag,sh,sha_manu,sha_manu_flag,sh_flag,sh_manu,sh_manu_flag,shneu_manu,shneu_manu_flag,sicht_i,sicht_i_flag,sicht_ii,sicht_ii_flag,sicht_iii,sicht_iii_flag,so_h,so_h_flag,tau,tau_flag,tl_i,tl_i_flag,tl_ii,tl_ii_flag,tl_iii,tl_iii_flag,tlmax,tlmax_flag,tlmin,tlmin_flag,tl_mittel,tl_mittel_flag,tsmin,tsmin_flag,vvbft_i,vvbft_i_flag,vvbft_ii,vvbft_ii_flag,vvbft_iii,vvbft_iii_flag,vv_mittel,vv_mittel_flag,zeitx,zeitx_flag,substation
2000-01-11T00:00+00:00,30,2.0,20,1.0,20.0,1.0,20.0,10.0,20,10.0,20.0,10.0,20.0,100.0,20,0.0,,0.0,,183.0,20,5.7,20,5.4,20.0,5.5,20.0,5.5,20.0,16.0,20,20.0,20,32.0,20,6.0,20,6.0,20.0,6.0,20.0,3.5,20,0.0,,0.0,,0.0,,990.6,20,991.2,20.0,991.9,20.0,991.2,20.0,0.0,,0.0,,,,,,,,,,96,20,82.0,20.0,88.0,20.0,89.0,20.0,0.0,8.0,20.0,2.0,20,8.0,20.0,20.0,0.0,20,0.0,20.0,,2.0,20,,10.0,20,0.0,20,1500.0,20,6000.0,20.0,6000.0,20.0,0.0,20,0.0,,-0.5,20,1.0,20.0,0.3,20.0,1.3,20.0,-0.6,20.0,0.4,20.0,-1.4,20,1.0,20,1.0,20,1.0,20,1.0,20,1144.0,20,16412
2000-01-12T00:00+00:00,30,1.0,20,1.0,20.0,1.0,20.0,10.0,20,9.0,20.0,10.0,20.0,97.0,20,0.0,,0.0,,464.0,20,4.8,20,5.0,20.0,4.9,20.0,4.9,20.0,4.0,20,16.0,20,12.0,20,6.0,20,6.0,20.0,6.0,20.0,5.3,20,0.0,,0.0,,0.0,,989.9,20,988.2,20.0,987.7,20.0,988.6,20.0,0.0,,1.0,,,,,,,,,,90,20,84.0,20.0,86.0,20.0,87.0,20.0,-1,0.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,2.0,20,,10.0,20,-1.0,20,10000.0,20,6000.0,20.0,4000.0,20.0,2.1,20,0.0,,-2.0,20,-0.4,20.0,-1.1,20.0,2.2,20.0,-2.1,20.0,0.1,20.0,-3.2,20,1.0,20,2.0,20,1.0,20,1.5,20,1308.0,20,16412
2000-01-13T00:00+00:00,30,2.0,20,1.0,20.0,1.0,20.0,10.0,20,9.0,20.0,10.0,20.0,97.0,20,0.0,,0.0,,284.0,20,4.1,20,4.0,20.0,3.9,20.0,4.0,20.0,16.0,20,16.0,20,4.0,20,6.0,20,6.0,20.0,6.0,20.0,4.0,20,0.0,,0.0,,1.0,,984.0,20,980.8,20.0,980.3,20.0,981.7,20.0,0.0,,1.0,,,,,,,,,,100,20,88.0,20.0,90.0,20.0,93.0,20.0,0.0,8.0,20.0,0.0,20,8.0,20.0,20.0,-1,20,0.0,20.0,,2.0,20,,10.0,20,-1.0,20,400.0,20,2500.0,20.0,3000.0,20.0,0.0,20,0.0,,-5.5,20,-4.1,20.0,-4.8,20.0,-1.0,20.0,-6.1,20.0,-3.6,20.0,-5.1,20,2.0,20,1.0,20,1.0,20,1.5,20,1459.0,20,16412
2000-01-14T00:00+00:00,30,1.0,20,,20.0,,20.0,2.0,20,0.0,20.0,0.0,20.0,7.0,20,0.0,,0.0,,619.0,20,2.9,20,3.5,20.0,3.5,20.0,3.3,20.0,28.0,20,20.0,20,8.0,20,6.0,20,6.0,20.0,6.0,20.0,4.4,20,0.0,,0.0,,0.0,,979.3,20,978.5,20.0,980.6,20.0,979.5,20.0,0.0,,0.0,,,,,,,,,,84,20,60.0,20.0,78.0,20.0,74.0,20.0,-1,0.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,2.0,20,,10.0,20,-1.0,20,30000.0,20,20000.0,20.0,6000.0,20.0,7.6,20,0.0,,-7.5,20,-0.5,20.0,-4.2,20.0,0.2,20.0,-8.0,20.0,-3.9,20.0,-8.5,20,2.0,20,1.0,20,1.0,20,1.5,20,1111.0,20,16412
2000-01-15T00:00+00:00,30,1.0,20,1.0,20.0,1.0,20.0,9.0,20,10.0,20.0,10.0,20.0,97.0,20,0.0,,0.0,,178.0,20,3.7,20,4.2,20.0,4.2,20.0,4.0,20.0,32.0,20,16.0,20,28.0,20,6.0,20,6.0,20.0,6.0,20.0,4.5,20,0.0,,0.0,,0.0,,982.4,20,982.7,20.0,983.6,20.0,982.9,20.0,0.0,,1.0,,,,,,,,,,98,20,91.0,20.0,92.0,20.0,94.0,20.0,-1,0.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,2.0,20,,10.0,20,-1.0,20,2000.0,20,2500.0,20.0,2500.0,20.0,0.0,20,0.0,,-6.6,20,-3.7,20.0,-4.0,20.0,-3.6,20.0,-8.3,20.0,-6.0,20.0,-9.5,20,1.0,20,1.0,20,1.0,20,1.0,20,1950.0,20,16412
2000-01-16T00:00+00:00,30,1.0,20,1.0,20.0,,20.0,8.0,20,1.0,20.0,0.0,20.0,30.0,20,0.0,,0.0,,666.0,20,4.0,20,4.5,20.0,4.1,20.0,4.2,20.0,28.0,20,16.0,20,4.0,20,6.0,20,6.0,20.0,6.0,20.0,4.6,20,0.0,,0.0,,0.0,,983.6,20,983.5,20.0,984.0,20.0,983.7,20.0,0.0,,1.0,,,,,,,,,,90,20,66.0,20.0,84.0,20.0,80.0,20.0,-1,0.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,2.0,20,,10.0,20,-1.0,20,4000.0,20,20000.0,20.0,15000.0,20.0,7.5,20,0.0,,-4.4,20,1.6,20.0,-3.2,20.0,1.8,20.0,-5.0,20.0,-1.6,20.0,-5.1,20,1.0,20,2.0,20,1.0,20,1.5,20,1351.0,20,16412
2000-01-17T00:00+00:00,30,1.0,20,1.0,20.0,1.0,20.0,7.0,20,8.0,20.0,2.0,20.0,57.0,20,1.0,,0.0,,573.0,20,3.4,20,4.5,20.0,5.4,20.0,4.4,20.0,4.0,20,16.0,20,12.0,20,6.0,20,6.0,20.0,6.0,20.0,14.9,20,0.0,,0.0,,0.0,,974.1,20,966.5,20.0,962.2,20.0,967.6,20.0,0.0,,1.0,,,,,,,,,,93,20,59.0,20.0,81.0,20.0,78.0,20.0,0.0,1.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,2.0,20,,10.0,20,-1.0,20,50000.0,20,20000.0,20.0,50000.0,20.0,4.9,20,0.0,,-6.9,20,3.1,20.0,1.2,20.0,4.7,20.0,-7.1,20.0,-1.2,20.0,-8.5,20,1.0,20,1.0,20,1.0,20,1.0,20,2108.0,20,16412
2000-01-18T00:00+00:00,30,1.0,20,1.0,20.0,1.0,20.0,7.0,20,10.0,20.0,10.0,20.0,90.0,20,1.0,,0.0,,350.0,20,6.5,20,7.8,20.0,5.4,20.0,6.6,20.0,28.0,20,28.0,20,28.0,20,6.0,20,6.0,20.0,7.0,20.0,18.7,20,0.0,,0.0,,0.0,,958.0,20,955.9,20.0,964.0,20.0,959.3,20.0,0.0,,0.0,,,,,,,,,,69,20,87.0,20.0,81.0,20.0,79.0,20.0,5.5,5.0,20.0,1.0,20,5.0,20.0,20.0,0.0,20,5.4,20.0,,2.0,20,,8.0,20,-1.0,20,80000.0,20,20000.0,20.0,50000.0,20.0,1.9,20,0.0,,6.0,20,5.3,20.0,1.1,20.0,8.6,20.0,0.9,20.0,4.8,20.0,-1.8,20,4.0,20,3.0,20,3.0,20,5.2,20,1731.0,20,16412
2000-01-19T00:00+00:00,30,1.0,20,1.0,20.0,2.0,20.0,7.0,20,1.0,20.0,9.0,20.0,57.0,20,0.0,,0.0,,718.0,20,5.5,20,3.7,20.0,3.9,20.0,4.4,20.0,24.0,20,28.0,20,24.0,20,9.0,20,6.0,20.0,6.0,20.0,13.6,20,0.0,,0.0,,0.0,,969.9,20,972.1,20.0,974.9,20.0,972.3,20.0,0.0,,0.0,,,,,,,,,,95,20,45.0,20.0,56.0,20.0,65.0,20.0,0.0,2.0,20.0,2.0,20,2.0,20.0,20.0,0.1,20,0.0,20.0,,3.0,20,,5.0,20,0.0,20,80000.0,20,80000.0,20.0,80000.0,20.0,6.6,20,0.0,,-0.7,20,4.2,20.0,1.7,20.0,4.2,20.0,-2.0,20.0,1.1,20.0,-4.1,20,1.0,20,2.0,20,1.0,20,1.5,20,1156.0,20,16412
2000-01-20T00:00+00:00,30,1.0,20,1.0,20.0,1.0,20.0,3.0,20,9.0,20.0,8.0,20.0,67.0,20,0.0,,0.0,,482.0,20,3.9,20,3.6,20.0,3.8,20.0,3.8,20.0,8.0,20,24.0,20,4.0,20,6.0,20,6.0,20.0,6.0,20.0,7.5,20,0.0,,0.0,,0.0,,979.9,20,977.9,20.0,975.7,20.0,977.8,20.0,0.0,,1.0,,,,,,,,,,77,20,48.0,20.0,69.0,20.0,65.0,20.0,-1,0.0,20.0,0.0,20,0.0,20.0,20.0,-1,20,-1,20.0,,2.0,20,,5.0,20,-1.0,20,80000.0,20,60000.0,20.0,30000.0,20.0,4.1,20,0.0,,-2.5,20,3.0,20.0,-1.3,20.0,4.9,20.0,-2.6,20.0,1.2,20.0,-4.8,20,1.0,20,1.0,20,1.0,20,1.0,20,1236.0,20,16412
